benchmark_id,split,dataset_id,system_id,metric,replay_value,chapter10a_value,absolute_delta,tolerance,status
locked,locked_benchmark,bank_marketing,pure_mavs_gc,f1,0.4501940491591203,0.4501940491591203,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,pure_mavs_gc,roc_auc,0.9337521924756886,0.9337521924756886,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,pure_mavs_gc,false_positive_rate,0.01753507014028056,0.01753507014028056,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,pure_mavs_gc,false_negative_rate,0.6710775047258979,0.6710775047258979,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,pure_mavs_gc,balanced_accuracy,0.6556937125669108,0.6556937125669108,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,pure_mavs_gc,calibration_error,0.007614075910744572,0.007614075910744573,8.673617379884035e-19,1e-12,pass
audit,audit_benchmark,breast_cancer_wisconsin,single_model,accuracy,0.9655172413793104,0.9655172413793104,0.0,1e-12,pass
audit,audit_benchmark,breast_cancer_wisconsin,single_model,precision,1.0,1.0,0.0,1e-12,pass
audit,audit_benchmark,breast_cancer_wisconsin,single_model,recall,0.9090909090909091,0.9090909090909091,0.0,1e-12,pass
audit,audit_benchmark,breast_cancer_wisconsin,single_model,f1,0.9523809523809523,0.9523809523809523,0.0,1e-12,pass
audit,audit_benchmark,breast_cancer_wisconsin,single_model,roc_auc,0.9595959595959596,0.9595959595959596,0.0,1e-12,pass
audit,audit_benchmark,breast_cancer_wisconsin,single_model,false_positive_rate,0.0,0.0,0.0,1e-12,pass
audit,audit_benchmark,breast_cancer_wisconsin,single_model,false_negative_rate,0.09090909090909091,0.09090909090909091,0.0,1e-12,pass
audit,audit_benchmark,breast_cancer_wisconsin,single_model,balanced_accuracy,0.9545454545454546,0.9545454545454546,0.0,1e-12,pass
audit,audit_benchmark,breast_cancer_wisconsin,single_model,calibration_error,0.036989893004662794,0.036989893004662794,0.0,1e-12,pass
audit,audit_benchmark,breast_cancer_wisconsin,mean_ensemble,accuracy,0.9655172413793104,0.9655172413793104,0.0,1e-12,pass
audit,audit_benchmark,breast_cancer_wisconsin,mean_ensemble,precision,1.0,1.0,0.0,1e-12,pass
audit,audit_benchmark,breast_cancer_wisconsin,mean_ensemble,recall,0.9090909090909091,0.9090909090909091,0.0,1e-12,pass
